CONDITION,DATE,DAY OF WEEK,HIGH TEMP,HUMIDITY,LOW TEMP,PRESSURE,SEA LEVEL,STATION ID,WIND DEGREE DIRECTION,WIND SPEED
broken clouds,06/08/2019,Sat,92.03,49.0,92.03,1011.4,,4,244.0,10.2
broken clouds,06/08/2019,Sat,85.47,63.0,85.47,1012.37,,4,242.0,7.65
broken clouds,06/08/2019,Sat,80.97,74.0,80.97,1013.54,,4,235.0,5.66
broken clouds,06/09/2019,Sun,79.23,83.0,79.23,1012.52,,4,205.0,5.21
overcast clouds,06/09/2019,Sun,78.3,88.0,78.3,1012.08,,4,193.0,5.1
light rain,06/09/2019,Sun,79.87,86.0,79.87,1013.28,,4,181.0,6.49
overcast clouds,06/09/2019,Sun,87.17,64.0,87.17,1014.13,,4,201.0,10.09
overcast clouds,06/09/2019,Sun,92.94,48.0,92.94,1013.1,,4,221.0,13.56
overcast clouds,06/09/2019,Sun,91.09,50.0,91.09,1012.19,,4,233.0,14.29
overcast clouds,06/09/2019,Sun,84.72,69.0,84.72,1013.26,,4,220.0,9.17
light rain,06/09/2019,Sun,79.37,86.0,79.37,1014.18,,4,218.0,7.47
broken clouds,06/10/2019,Mon,78.02,89.0,78.02,1013.1,,4,197.0,7.31
broken clouds,06/10/2019,Mon,77.69,88.0,77.69,1012.29,,4,193.0,8.1
broken clouds,06/10/2019,Mon,81.05,82.0,81.05,1013.35,,4,207.0,9.86
light rain,06/10/2019,Mon,88.07,58.0,88.07,1013.53,,4,231.0,15.28
broken clouds,06/10/2019,Mon,92.29,49.0,92.29,1012.38,,4,225.0,19.15
broken clouds,06/05/2019,Wed,87.35,70.0,83.61,1014.44,,5,231.0,8.72
overcast clouds,06/05/2019,Wed,86.45,66.0,83.66,1014.24,,5,149.0,1.7
overcast clouds,06/05/2019,Wed,85.03,72.0,83.17,1015.31,,5,115.0,2.84
overcast clouds,06/06/2019,Thu,83.82,71.0,82.89,1014.49,,5,138.0,5.17
overcast clouds,06/06/2019,Thu,82.13,76.0,82.13,1012.69,,5,128.0,9.91
broken clouds,06/06/2019,Thu,82.13,76.0,82.13,1013.37,,5,134.0,10.2
scattered clouds,06/06/2019,Thu,82.9,73.0,82.9,1014.09,,5,149.0,9.8
scattered clouds,06/06/2019,Thu,83.26,72.0,83.26,1013.44,,5,197.0,9.33
broken clouds,06/06/2019,Thu,83.62,72.0,83.62,1012.11,,5,207.0,9.66
broken clouds,06/06/2019,Thu,83.8,71.0,83.8,1012.15,,5,195.0,4.76
overcast clouds,06/06/2019,Thu,83.39,74.0,83.39,1013.44,,5,150.0,2.59
overcast clouds,06/07/2019,Fri,82.82,71.0,82.82,1012.37,,5,147.0,3.13
overcast clouds,06/07/2019,Fri,82.67,73.0,82.67,1011.2,,5,150.0,7.0
overcast clouds,06/07/2019,Fri,82.67,75.0,82.67,1011.91,,5,152.0,8.77
overcast clouds,06/07/2019,Fri,83.42,74.0,83.42,1012.68,,5,164.0,11.23
overcast clouds,06/07/2019,Fri,83.6,75.0,83.6,1012.16,,5,186.0,12.46
broken clouds,06/07/2019,Fri,84.1,76.0,84.1,1010.34,,5,202.0,11.3
overcast clouds,06/07/2019,Fri,84.47,76.0,84.47,1010.63,,5,231.0,7.09
overcast clouds,06/07/2019,Fri,84.29,77.0,84.29,1012.52,,5,244.0,4.12
overcast clouds,06/08/2019,Sat,83.9,76.0,83.9,1011.76,,5,198.0,3.67
overcast clouds,06/08/2019,Sat,83.67,75.0,83.67,1010.98,,5,177.0,8.79
overcast clouds,06/08/2019,Sat,83.9,76.0,83.9,1012.13,,5,185.0,10.11
broken clouds,06/08/2019,Sat,83.93,77.0,83.93,1013.26,,5,185.0,11.86
scattered clouds,06/08/2019,Sat,84.57,74.0,84.57,1012.96,,5,199.0,11.59
clear sky,06/08/2019,Sat,84.83,74.0,84.83,1011.74,,5,217.0,10.74
clear sky,06/08/2019,Sat,84.75,77.0,84.75,1012.58,,5,222.0,8.93
overcast clouds,06/08/2019,Sat,84.39,79.0,84.39,1013.72,,5,209.0,8.66
overcast clouds,06/09/2019,Sun,84.09,79.0,84.09,1012.64,,5,193.0,10.22
light rain,06/09/2019,Sun,83.88,79.0,83.88,1012.01,,5,191.0,12.53
light rain,06/09/2019,Sun,84.01,77.0,84.01,1013.44,,5,194.0,12.57
light rain,06/09/2019,Sun,84.47,75.0,84.47,1014.34,,5,201.0,13.35
moderate rain,06/09/2019,Sun,84.12,77.0,84.12,1013.55,,5,219.0,12.88
light rain,06/09/2019,Sun,84.79,78.0,84.79,1012.63,,5,216.0,13.29
moderate rain,06/09/2019,Sun,84.18,78.0,84.18,1013.73,,5,210.0,13.65
light rain,06/09/2019,Sun,84.41,78.0,84.41,1014.55,,5,189.0,15.1
overcast clouds,06/10/2019,Mon,84.5,78.0,84.5,1013.44,,5,202.0,17.18
light rain,06/10/2019,Mon,84.35,78.0,84.35,1012.55,,5,203.0,19.13
moderate rain,06/10/2019,Mon,84.47,76.0,84.47,1013.57,,5,215.0,18.57
light rain,06/10/2019,Mon,84.29,79.0,84.29,1014.1,,5,219.0,17.63
light rain,06/10/2019,Mon,84.55,79.0,84.55,1013.22,,5,213.0,20.15
clear sky,06/05/2019,Wed,83.25,16.0,82.22,1009.17,,6,289.0,11.3
clear sky,06/05/2019,Wed,82.04,18.0,81.27,1008.34,,6,297.0,11.99
clear sky,06/05/2019,Wed,69.67,26.0,69.15,1008.87,,6,6.0,4.54
clear sky,06/06/2019,Thu,68.13,26.0,67.87,1009.26,,6,91.0,7.49
clear sky,06/06/2019,Thu,63.95,35.0,63.95,1009.1,,6,131.0,8.23
clear sky,06/06/2019,Thu,61.43,43.0,61.43,1008.14,,6,158.0,7.09
clear sky,06/06/2019,Thu,74.98,33.0,74.98,1006.28,,6,163.0,12.26
clear sky,06/06/2019,Thu,86.32,29.0,86.32,1003.9,,6,173.0,13.71
scattered clouds,06/06/2019,Thu,91.0,21.0,91.0,1001.25,,6,169.0,13.38
